RT(milliseconds),ges.Knolle,ges.Knolle.1,ges.Knolle.2,ges.Knolle.3,ges.Knolle.4,ges.Knolle.5,ges.Knolle.6,ges.Knolle.7,ges.Knolle.8,ges.Knolle.9,ges.Knolle.10,ges.Knolle.11,ges.Knolle.12,ges.Knolle.13,ges.Knolle.14,ges.Knolle.15,ges.Knolle.16,ges.Knolle.17,ges.Knolle.18,ges.Knolle.19,ges.Knolle.20,ges.Knolle.21,ges.Knolle.22,ges.Knolle.23,ges.Knolle.24,ges.Knolle.25,ges.Knolle.26,ges.Knolle.27,ges.Knolle.28,ges.Knolle.29,ges.Knolle.30,ges.Knolle.31,ges.Knolle.32,ges.Knolle.33,ges.Knolle.34,ges.Knolle.35,ges.Knolle.36,ges.Knolle.37,ges.Knolle.38,ges.Knolle.39,ges.Knolle.40,inf.Knolle,inf.Knolle.1,inf.Knolle.2,inf.Knolle.3,inf.Knolle.4,inf.Knolle.5,inf.Knolle.6,inf.Knolle.7,inf.Knolle.8,inf.Knolle.9,inf.Knolle.10,inf.Knolle.11,inf.Knolle.12,inf.Knolle.13,inf.Knolle.14,inf.Knolle.15,inf.Knolle.16,inf.Knolle.17,inf.Knolle.18,inf.Knolle.19,inf.Knolle.20,inf.Knolle.21,inf.Knolle.22,inf.Knolle.23,inf.Knolle.24,inf.Knolle.25,inf.Knolle.26,inf.Knolle.27,inf.Knolle.28,inf.Knolle.29,inf.Knolle.30,inf.Knolle.31,inf.Knolle.32,inf.Knolle.33,inf.Knolle.34
121300,"32,167988","48,13888","57,921356","37,92545","0,0","0,0","42,05402","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,072266","0,0","0,0","0,0","0,0","40,064484","0,0","0,0","0,0","0,0","0,0","0,0","74,87275","0,0","0,0","57,124706","0,0","0,0","0,0","0,0","36,729137","0,0","41,7373","0,0","274,0505","584,39575","206,45668","0,0","0,0","551,4739","0,0","0,0","0,0","279,47522","505,09772","0,0","50,275703","0,0","46,253338","0,0","0,0","0,0","0,0","0,0","0,0","0,0","37,75675","569,7213","0,0","0,0","887,0029","0,0","0,0","0,0","744,1534","796,2144","408,6507","925,5005"
121800,"0,0","50,9262","69,87802","51,63919","0,0","81,16456","39,596252","0,0","0,0","0,0","0,0","30,30633","0,0","0,0","0,0","0,0","34,080276","37,695595","33,517387","0,0","0,0","0,0","38,13985","40,841312","0,0","0,0","0,0","378,6468","0,0","205,0452","51,53049","0,0","0,0","0,0","0,0","0,0","0,0","0,0","34,584145","0,0","40,497475","1000,0001","92,7495","264,0553","63,549664","0,0","56,140865","312,25046","839,7977","897,5676","606,1401","73,26517","121,83553","0,0","251,29222","0,0","30,55897","47,319904","109,1369","0,0","0,0","0,0","103,750786","173,00769","0,0","195,35336","0,0","0,0","308,76147","166,9035","51,651302","0,0","614,2464","396,19214","931,9403","414,12476"
121900,"0,0","47,484814","53,257763","52,296177","0,0","94,611465","38,697727","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","43,113266","36,992577","32,26558","31,37659","0,0","0,0","0,0","33,609253","0,0","0,0","0,0","435,51086","0,0","224,36041","61,54641","0,0","0,0","38,9698","0,0","0,0","0,0","0,0","37,369453","0,0","33,061188","876,63727","72,283264","210,74336","51,495205","0,0","85,14445","269,2003","947,1169","830,1754","799,09595","60,23194","94,85699","0,0","280,3798","0,0","0,0","63,575455","134,97385","30,075426","0,0","0,0","158,79724","201,98186","0,0","145,72377","0,0","0,0","230,78564","209,72417","88,80869","0,0","463,88037","296,51993","740,7007","306,95496"
122000,"0,0","47,523983","42,16504","46,18239","0,0","97,9819","33,304947","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","45,65145","35,472206","0,0","42,542778","0,0","0,0","31,56198","30,598976","0,0","0,0","0,0","469,65417","0,0","217,91779","55,782017","0,0","0,0","39,189335","0,0","31,394384","0,0","33,562565","37,668926","0,0","37,907818","766,62897","59,55655","175,20253","43,28119","0,0","103,34465","229,14293","956,45746","742,91797","887,4294","50,18302","75,06738","0,0","286,19104","30,874863","0,0","78,09409","234,29543","109,533676","0,0","0,0","217,95827","201,22536","0,0","116,61983","37,341988","0,0","180,9285","230,23042","123,556274","0,0","365,30557","236,54759","611,2906","240,55092"
122300,"43,351032","41,590748","37,998352","41,65533","0,0","87,96431","50,683628","0,0","0,0","0,0","0,0","39,553387","0,0","0,0","0,0","0,0","33,302433","0,0","0,0","72,18448","0,0","0,0","0,0","32,36847","0,0","0,0","0,0","384,2059","0,0","188,4523","35,942192","0,0","0,0","42,303284","0,0","43,433147","0,0","45,290684","51,762596","0,0","36,39925","466,99258","37,650887","108,566444","0,0","0,0","220,35893","148,01236","637,40717","436,66296","678,2187","31,593096","41,643707","0,0","224,47607","0,0","0,0","87,58514","905,0056","660,84406","0,0","0,0","388,1855","159,44778","0,0","63,279396","52,66275","0,0","96,20339","202,84515","201,3006","44,798565","183,4037","124,845856","338,0039","121,04604"
122400,"42,58433","38,996166","42,195324","40,31505","0,0","96,95666","56,04048","0,0","0,0","0,0","0,0","35,328903","0,0","0,0","0,0","0,0","31,12525","0,0","0,0","68,792694","0,0","0,0","0,0","52,30086","0,0","0,0","0,0","319,86954","0,0","166,89209","37,992355","0,0","0,0","50,744373","30,914066","42,199795","0,0","42,436905","41,48765","0,0","0,0","396,9098","32,795383","93,951775","0,0","0,0","246,50864","129,92587","516,72345","357,4212","568,9634","0,0","35,24233","0,0","187,63455","0,0","0,0","78,89061","1000,0014","741,3061","0,0","0,0","423,8318","146,29053","0,0","52,485844","48,88267","0,0","79,49767","161,84471","203,1699","42,899082","144,57812","103,01943","279,32977","97,98401"
122500,"34,951702","36,076984","51,9659","39,429295","0,0","111,11079","61,86337","0,0","0,0","39,09542","0,0","36,56999","0,0","0,0","33,505592","0,0","0,0","0,0","0,0","65,25072","0,0","0,0","0,0","62,877167","0,0","0,0","0,0","268,52853","0,0","143,70433","42,54923","0,0","0,0","59,900444","35,013893","33,949486","0,0","39,045685","40,116592","0,0","0,0","335,2317","0,0","82,43952","0,0","0,0","249,7114","113,10487","411,8125","292,67633","473,5952","0,0","30,43631","0,0","161,91309","0,0","0,0","66,995766","996,63855","732,8715","0,0","0,0","436,27573","140,35432","0,0","44,402225","44,984455","0,0","66,00004","137,25447","208,95268","38,79136","116,220764","85,51024","233,4566","80,115555"
122600,"31,854801","37,775005","61,772636","36,24986","0,0","133,30943","69,02068","0,0","0,0","47,750362","0,0","46,771034","35,193058","0,0","38,297966","0,0","0,0","0,0","0,0","56,477406","0,0","0,0","31,077963","72,94368","0,0","0,0","0,0","223,20537","0,0","126,852936","43,7607","0,0","0,0","57,19509","33,38978","0,0","0,0","35,54354","44,672024","0,0","0,0","281,38824","0,0","72,05458","0,0","0,0","233,62901","99,449646","328,6235","239,42178","391,72452","0,0","0,0","0,0","144,05618","0,0","0,0","54,25045","928,4875","667,27496","0,0","0,0","408,55545","131,99855","0,0","38,386875","39,694885","0,0","56,33956","130,53853","215,23465","35,64292","95,65677","71,803986","196,02565","66,92061"
123600,"0,0","61,525696","60,92135","59,219536","0,0","75,40397","53,147198","0,0","0,0","48,029976","0,0","0,0","0,0","40,19194","46,312008","0,0","55,966427","0,0","0,0","43,489517","0,0","0,0","0,0","81,90556","44,357563","0,0","0,0","42,940937","0,0","51,56884","60,75506","0,0","0,0","0,0","35,271503","30,154383","0,0","0,0","34,958668","0,0","0,0","67,057045","0,0","0,0","0,0","0,0","60,54649","37,754955","52,1812","48,686554","66,01979","0,0","0,0","0,0","167,7041","827,4238","0,0","44,576767","339,8104","96,07926","49,113358","0,0","87,511635","55,930492","40,930073","0,0","49,737465","0,0","0,0","90,56365","108,61809","0,0","0,0","0,0","47,481586","0,0"
123700,"0,0","60,127075","58,108624","58,7585","0,0","69,09278","52,040142","0,0","0,0","51,73425","0,0","0,0","0,0","39,5071","44,29517","0,0","52,36306","34,012657","0,0","41,85943","0,0","0,0","0,0","87,31857","44,73036","0,0","0,0","40,445236","0,0","45,5948","67,50514","0,0","0,0","40,110485","42,556347","0,0","0,0","0,0","42,877113","0,0","0,0","60,568787","0,0","0,0","0,0","0,0","58,330784","35,078075","45,056786","42,463448","58,608074","0,0","0,0","0,0","163,81349","873,7645","0,0","43,566452","326,18536","81,290794","44,256977","0,0","79,55326","47,165646","46,12163","0,0","52,36201","33,651955","0,0","92,19168","103,32417","0,0","0,0","0,0","41,2311","0,0"
123800,"0,0","56,202766","57,35515","60,76968","0,0","63,73081","53,02846","0,0","0,0","48,764793","0,0","30,851267","30,541468","38,205257","39,227737","0,0","48,643093","39,96032","0,0","41,210438","0,0","0,0","32,513683","93,70309","40,250698","36,198128","0,0","36,43776","0,0","39,536472","69,790825","0,0","0,0","48,7826","51,437614","0,0","0,0","0,0","48,249763","0,0","0,0","53,667316","0,0","0,0","0,0","0,0","53,512608","32,73116","39,237057","38,201164","51,817493","0,0","0,0","0,0","166,11818","827,4231","0,0","47,81852","290,28372","69,77097","40,395912","0,0","69,60104","43,484066","47,584957","0,0","55,036354","36,179283","0,0","91,391136","100,53856","0,0","0,0","0,0","36,94646","0,0"
132500,"0,0","47,372875","72,562485","43,096268","0,0","0,0","48,63551","0,0","0,0","77,49713","0,0","61,475517","38,01568","52,346664","54,98541","37,947918","0,0","0,0","68,02257","0,0","0,0","0,0","0,0","44,083977","1000,0008","159,58543","0,0","122,914116","61,25296","103,06071","38,129734","0,0","0,0","95,34047","669,9502","36,36301","0,0","0,0","0,0","42,405804","0,0","0,0","0,0","31,77246","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","37,890106","61,893063","0,0","31,87169","0,0","0,0","36,41375","0,0","0,0","0,0","0,0","0,0","0,0"
132600,"0,0","56,966152","70,5263","51,37161","51,49813","37,475792","40,602272","0,0","0,0","68,67035","0,0","53,87127","35,023598","51,477272","46,11727","57,854816","0,0","0,0","66,395645","0,0","0,0","0,0","0,0","31,337214","987,3739","315,81015","0,0","164,10461","53,213646","121,806885","48,270523","0,0","0,0","140,39081","870,03217","0,0","0,0","0,0","0,0","38,02117","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,591866","62,942223","0,0","32,688396","0,0","0,0","52,52781","0,0","0,0","0,0","0,0","0,0","0,0"
132700,"0,0","66,11714","65,15154","54,609024","98,35478","42,33972","34,849403","0,0","0,0","62,453094","0,0","45,889977","30,824009","45,26043","37,455746","112,29758","0,0","0,0","59,730076","31,450634","0,0","0,0","0,0","0,0","903,3291","531,1394","0,0","188,34378","46,68894","130,9937","62,417778","0,0","0,0","241,15263","986,74615","0,0","0,0","0,0","0,0","36,40042","0,0","0,0","0,0","0,0","0,0","0,0","34,839573","0,0","0,0","0,0","0,0","0,0","0,0","0,0","34,442024","0,0","0,0","0,0","0,0","0,0","0,0","0,0","32,2331","56,29892","68,3608","0,0","36,643852","0,0","0,0","72,35713","30,380976","0,0","0,0","0,0","0,0","0,0"
132800,"0,0","66,47561","55,69926","56,295185","158,7101","40,47741","30,234304","0,0","0,0","61,66285","0,0","39,970047","0,0","36,8608","33,70929","213,03674","36,082485","0,0","55,116516","41,750153","0,0","0,0","0,0","0,0","785,5628","750,0239","0,0","194,9384","43,083267","126,75772","65,55084","0,0","0,0","415,42087","999,99945","0,0","0,0","0,0","30,462864","32,91395","0,0","0,0","0,0","0,0","0,0","0,0","44,969154","0,0","0,0","0,0","0,0","0,0","0,0","0,0","49,81014","0,0","0,0","0,0","0,0","0,0","35,17992","0,0","43,5209","64,803474","76,4041","0,0","42,32064","0,0","0,0","94,237526","49,797523","0,0","0,0","0,0","0,0","0,0"
132900,"0,0","60,990116","49,766033","62,03392","219,25865","45,673344","0,0","0,0","0,0","57,90423","0,0","42,64718","0,0","31,328482","0,0","354,82303","41,221302","0,0","49,84547","58,627377","0,0","0,0","0,0","0,0","652,74457","919,6294","0,0","194,87346","39,36167","115,82413","54,637856","0,0","0,0","643,52295","949,7637","0,0","0,0","0,0","30,866415","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,445328","0,0","0,0","0,0","0,0","0,0","0,0","0,0","58,978092","0,0","0,0","0,0","0,0","0,0","43,904495","0,0","54,761883","67,57368","73,96935","0,0","45,92305","0,0","0,0","115,717094","61,01178","0,0","0,0","0,0","0,0","0,0"
133000,"0,0","55,535057","44,65437","58,543095","261,59265","49,669502","0,0","0,0","0,0","58,32613","0,0","50,730633","0,0","0,0","0,0","508,88025","44,586147","0,0","41,921932","79,32991","0,0","0,0","0,0","0,0","521,5651","1000,0005","0,0","180,77731","36,779736","99,57586","50,372078","0,0","0,0","837,37775","858,28143","0,0","31,790018","34,530777","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","56,812153","0,0","0,0","0,0","0,0","0,0","0,0","0,0","66,03431","0,0","0,0","0,0","0,0","0,0","45,033237","0,0","63,52485","61,509464","65,3523","0,0","58,169464","0,0","0,0","123,752426","72,605774","0,0","0,0","0,0","0,0","0,0"
133100,"0,0","51,25367","37,577343","47,61","277,85638","45,779903","0,0","0,0","0,0","67,30828","0,0","71,206474","0,0","0,0","0,0","630,0465","45,75042","0,0","36,00316","92,52506","0,0","0,0","0,0","0,0","406,3448","976,99976","0,0","151,10504","33,301487","78,44358","59,4828","0,0","0,0","952,6535","728,41394","0,0","48,75351","37,68464","0,0","0,0","32,11478","0,0","0,0","0,0","0,0","0,0","57,07832","0,0","0,0","0,0","0,0","0,0","0,0","0,0","70,571266","0,0","0,0","31,588427","0,0","0,0","45,602352","0,0","67,25812","50,587288","68,4896","0,0","74,9465","30,822386","0,0","120,49572","79,21342","0,0","0,0","0,0","0,0","0,0"
133200,"0,0","44,464798","31,082657","41,172386","270,8493","42,038593","0,0","0,0","30,769228","77,64793","0,0","102,764565","0,0","0,0","0,0","691,6445","39,732037","0,0","37,979286","93,70066","0,0","0,0","0,0","0,0","305,86517","885,60504","0,0","118,99093","0,0","61,38994","73,3075","0,0","0,0","1000,0006","595,20654","0,0","74,37838","38,58895","0,0","0,0","43,715145","0,0","0,0","0,0","0,0","0,0","60,798264","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,391335","0,0","0,0","33,03369","0,0","0,0","46,452347","0,0","70,41115","40,51964","73,94735","0,0","93,86227","40,13414","0,0","112,90129","89,46806","0,0","0,0","0,0","0,0","0,0"
