RT(milliseconds),ges.Knolle,ges.Knolle.1,ges.Knolle.2,ges.Knolle.3,ges.Knolle.4,ges.Knolle.5,ges.Knolle.6,ges.Knolle.7,ges.Knolle.8,ges.Knolle.9,ges.Knolle.10,ges.Knolle.11,ges.Knolle.12,ges.Knolle.13,ges.Knolle.14,ges.Knolle.15,ges.Knolle.16,ges.Knolle.17,ges.Knolle.18,ges.Knolle.19,ges.Knolle.20,ges.Knolle.21,ges.Knolle.22,ges.Knolle.23,ges.Knolle.24,ges.Knolle.25,ges.Knolle.26,ges.Knolle.27,ges.Knolle.28,ges.Knolle.29,ges.Knolle.30,ges.Knolle.31,ges.Knolle.32,ges.Knolle.33,ges.Knolle.34,ges.Knolle.35,ges.Knolle.36,ges.Knolle.37,ges.Knolle.38,ges.Knolle.39,ges.Knolle.40,inf.Knolle,inf.Knolle.1,inf.Knolle.2,inf.Knolle.3,inf.Knolle.4,inf.Knolle.5,inf.Knolle.6,inf.Knolle.7,inf.Knolle.8,inf.Knolle.9,inf.Knolle.10,inf.Knolle.11,inf.Knolle.12,inf.Knolle.13,inf.Knolle.14,inf.Knolle.15,inf.Knolle.16,inf.Knolle.17,inf.Knolle.18,inf.Knolle.19,inf.Knolle.20,inf.Knolle.21,inf.Knolle.22,inf.Knolle.23,inf.Knolle.24,inf.Knolle.25,inf.Knolle.26,inf.Knolle.27,inf.Knolle.28,inf.Knolle.29,inf.Knolle.30,inf.Knolle.31,inf.Knolle.32,inf.Knolle.33,inf.Knolle.34
174300,"25,462934","26,102089","23,58864","12,265151","0,0","27,03554","10,483665","0,0","0,0","0,0","0,0","25,105446","10,663415","11,463994","20,4547","23,210617","19,014393","0,0","28,166134","13,479808","0,0","0,0","62,833233","22,703915","0,0","23,587732","0,0","23,669617","23,783733","13,847211","22,835144","0,0","0,0","34,50411","0,0","28,030195","19,685265","0,0","58,82699","16,474743","57,39467","0,0","0,0","0,0","0,0","0,0","27,587948","0,0","0,0","0,0","0,0","0,0","0,0","15,632962","30,382221","0,0","0,0","10,075011","0,0","0,0","19,29954","0,0","33,76937","18,273134","15,172432","0,0","18,95585","0,0","0,0","15,76109","0,0","10,027427","0,0","0,0","0,0","0,0"
188800,"19,245947","0,0","18,33337","18,064764","0,0","13,186938","10,975914","0,0","0,0","12,957876","0,0","18,651628","0,0","0,0","0,0","0,0","0,0","24,015507","30,384233","0,0","0,0","0,0","0,0","12,693398","10,479479","11,519587","0,0","61,802406","11,420742","21,243177","27,070112","0,0","0,0","17,693518","13,118743","46,375816","49,995277","0,0","26,538374","0,0","12,893799","0,0","12,22833","16,45745","10,598818","0,0","14,245179","20,001102","0,0","0,0","0,0","0,0","10,491583","0,0","34,16246","0,0","0,0","18,844458","0,0","0,0","0,0","0,0","45,75887","18,54878","32,886486","0,0","32,075012","10,915995","0,0","40,95374","54,006573","10,901313","0,0","0,0","0,0","0,0"
203900,"21,323685","12,463377","0,0","10,113597","10,303562","25,283178","0,0","18,86115","21,703478","60,12591","0,0","88,79504","13,554292","10,342651","10,56408","11,271321","0,0","17,13756","21,839447","13,126045","0,0","0,0","0,0","28,481232","17,56816","42,91903","0,0","39,56537","34,220882","0,0","54,36421","0,0","10,004446","47,83597","23,314482","29,441027","0,0","0,0","36,15096","16,582947","37,95286","0,0","0,0","0,0","0,0","0,0","40,18907","0,0","0,0","0,0","0,0","0,0","0,0","0,0","26,448143","0,0","0,0","0,0","0,0","0,0","23,515411","0,0","36,73035","15,746786","41,12991","0,0","21,213507","10,9643135","0,0","26,272497","22,346777","11,480817","0,0","0,0","0,0","0,0"
240200,"0,0","0,0","12,373417","0,0","0,0","17,436031","0,0","0,0","0,0","11,67231","0,0","38,396732","0,0","0,0","0,0","0,0","0,0","11,182455","0,0","0,0","0,0","0,0","0,0","18,655777","0,0","12,029736","0,0","19,333576","11,781795","12,645102","31,608402","0,0","11,935659","17,894773","13,655494","17,20877","0,0","0,0","28,013535","10,598918","15,217747","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,662048","0,0","0,0","0,0","0,0","0,0","19,95151","0,0","0,0","0,0","24,227047","0,0","15,679474","0,0","0,0","11,717702","20,591677","0,0","0,0","0,0","0,0","0,0"
254000,"15,998746","18,2631","11,304849","0,0","0,0","17,909222","18,588793","0,0","0,0","15,279518","0,0","22,900486","0,0","0,0","10,676231","12,992892","0,0","0,0","14,109342","0,0","0,0","0,0","13,897946","0,0","0,0","18,54268","0,0","19,13073","0,0","0,0","13,295976","0,0","0,0","25,030977","0,0","16,929342","0,0","0,0","0,0","0,0","31,57185","11,785193","0,0","0,0","0,0","0,0","32,059082","0,0","19,85964","23,09026","27,779085","0,0","0,0","0,0","22,108288","0,0","0,0","0,0","0,0","0,0","14,939609","0,0","20,324572","13,537948","30,207422","0,0","31,56548","17,451082","0,0","20,185596","0,0","0,0","14,070634","14,200328","13,855586","11,996151"
262500,"10,676363","0,0","15,303837","12,160484","0,0","0,0","0,0","0,0","11,026903","20,425009","0,0","31,751282","0,0","10,408452","10,937439","0,0","0,0","11,004939","30,354294","0,0","17,16832","0,0","13,310983","34,730328","13,194022","29,835295","0,0","19,555222","0,0","0,0","19,948599","0,0","10,877154","32,066708","25,977673","17,164488","0,0","0,0","0,0","14,386687","17,534187","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,62856","0,0","15,082446","16,414131","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
280300,"20,71808","0,0","0,0","0,0","15,902025","31,754274","0,0","0,0","19,762085","27,380424","0,0","28,91137","0,0","12,987615","11,597508","0,0","0,0","12,654675","33,08119","0,0","0,0","0,0","13,008168","0,0","0,0","28,492638","0,0","21,377115","17,977318","11,394797","22,709513","0,0","0,0","60,09776","11,723227","20,430498","12,596823","0,0","60,7133","16,79812","24,842567","0,0","0,0","0,0","0,0","15,552647","36,07231","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,081827","0,0","0,0","0,0","0,0","0,0","0,0","12,709736","18,398865","14,971243","16,53308","0,0","30,643095","27,05681","0,0","32,217167","20,180227","11,593599","0,0","0,0","0,0","0,0"
299800,"19,931795","26,052782","24,84815","24,529858","12,979708","46,94676","29,75747","0,0","0,0","0,0","0,0","21,945744","0,0","15,402332","15,114247","19,162834","13,212015","0,0","0,0","0,0","0,0","0,0","12,756769","11,153635","17,536057","0,0","0,0","0,0","11,11593","0,0","17,680285","0,0","0,0","0,0","31,540136","11,371264","19,103285","0,0","33,155437","0,0","19,328094","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,025356","11,211092","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,246355","10,574529","0,0","0,0","10,1442795","0,0","0,0","0,0","18,78302","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
312900,"21,773125","14,602202","0,0","0,0","0,0","20,871738","0,0","0,0","0,0","47,478035","0,0","12,168849","0,0","0,0","0,0","0,0","0,0","10,069716","25,415321","12,934319","0,0","0,0","0,0","36,84059","10,196995","14,68288","0,0","21,373589","12,011931","12,6719","47,659252","0,0","0,0","32,35412","14,636908","34,041885","0,0","0,0","16,81329","0,0","18,531075","0,0","0,0","0,0","0,0","0,0","19,764288","0,0","0,0","0,0","0,0","0,0","0,0","0,0","34,590916","0,0","0,0","0,0","0,0","0,0","28,750872","0,0","25,969006","16,918224","18,780832","0,0","13,271442","13,276462","0,0","41,43779","19,77036","11,779591","0,0","0,0","0,0","0,0"
326100,"50,084015","25,19953","27,207357","31,008762","0,0","34,74227","26,033941","12,57286","13,29098","68,0968","0,0","41,410137","14,466362","17,073214","21,456701","0,0","22,756474","19,540583","37,59952","0,0","15,954692","0,0","50,862522","38,768936","0,0","12,025945","0,0","34,464943","27,272491","14,136162","33,28992","0,0","17,796442","47,61888","11,662497","38,92102","0,0","13,747606","59,214176","19,793419","47,233784","0,0","0,0","0,0","0,0","13,76268","38,02319","0,0","0,0","0,0","0,0","0,0","0,0","13,301373","57,459927","0,0","0,0","11,387372","0,0","0,0","26,780636","10,22513","31,596792","11,767004","30,690397","0,0","44,484905","18,541521","0,0","49,28795","36,20566","0,0","0,0","0,0","0,0","0,0"
