RT(milliseconds),ges.Knolle,ges.Knolle.1,ges.Knolle.2,ges.Knolle.3,ges.Knolle.4,ges.Knolle.5,ges.Knolle.6,ges.Knolle.7,ges.Knolle.8,ges.Knolle.9,ges.Knolle.10,ges.Knolle.11,ges.Knolle.12,ges.Knolle.13,ges.Knolle.14,ges.Knolle.15,ges.Knolle.16,ges.Knolle.17,ges.Knolle.18,ges.Knolle.19,ges.Knolle.20,ges.Knolle.21,ges.Knolle.22,ges.Knolle.23,ges.Knolle.24,ges.Knolle.25,ges.Knolle.26,ges.Knolle.27,ges.Knolle.28,ges.Knolle.29,ges.Knolle.30,ges.Knolle.31,ges.Knolle.32,ges.Knolle.33,ges.Knolle.34,ges.Knolle.35,ges.Knolle.36,ges.Knolle.37,ges.Knolle.38,ges.Knolle.39,ges.Knolle.40,inf.Knolle,inf.Knolle.1,inf.Knolle.2,inf.Knolle.3,inf.Knolle.4,inf.Knolle.5,inf.Knolle.6,inf.Knolle.7,inf.Knolle.8,inf.Knolle.9,inf.Knolle.10,inf.Knolle.11,inf.Knolle.12,inf.Knolle.13,inf.Knolle.14,inf.Knolle.15,inf.Knolle.16,inf.Knolle.17,inf.Knolle.18,inf.Knolle.19,inf.Knolle.20,inf.Knolle.21,inf.Knolle.22,inf.Knolle.23,inf.Knolle.24,inf.Knolle.25,inf.Knolle.26,inf.Knolle.27,inf.Knolle.28,inf.Knolle.29,inf.Knolle.30,inf.Knolle.31,inf.Knolle.32,inf.Knolle.33,inf.Knolle.34
134000,"51,95407585714286","0,0","0,0","0,0","117,33037328571429","0,0","0,0","0,0","72,89508785714285","191,43464999999998","0,0","161,99752571428573","0,0","0,0","0,0","402,9847771428571","0,0","0,0","0,0","54,351938","0,0","0,0","0,0","0,0","88,655833","339,9954328571429","0,0","0,0","0,0","0,0","138,78944714285714","0,0","0,0","536,1988714285715","191,60221714285717","0,0","209,43572142857144","0,0","57,76499142857143","0,0","68,66091585714285","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,134462285714285","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","98,50203371428572","45,56812457142856","0,0","53,83386714285715","63,547136","0,0","0,0","0,0","0,0","0,0"
172500,"0,0","57,377710999999984","120,269052","0,0","0,0","0,0","46,199839142857165","0,0","0,0","0,0","0,0","0,0","0,0","47,579418857142855","48,583645142857144","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","44,006578142857144","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,97327042857143","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
189400,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","44,06293542857141","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
202900,"52,19479928571429","0,0","0,0","0,0","0,0","76,52340414285713","0,0","0,0","0,0","0,0","0,0","49,26720114285714","0,0","0,0","0,0","0,0","81,34534571428571","0,0","0,0","0,0","0,0","0,0","0,0","55,73469514285715","58,01879742857142","52,734019714285715","0,0","59,9272967142857","0,0","0,0","0,0","0,0","0,0","0,0","53,43269842857143","46,33357085714287","0,0","0,0","46,24806242857143","0,0","50,429601999999996","0,0","0,0","0,0","0,0","0,0","48,79965457142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","87,51712128571428","0,0","79,29569642857143","44,413886285714284","0,0","0,0","0,0","0,0","0,0","47,02849142857143","47,44124128571432","0,0","0,0","0,0","0,0","0,0"
233500,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","57,51254629428571","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
256700,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","48,273064119999994","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
272600,"81,12462071428571","0,0","0,0","0,0","0,0","62,92224771428572","0,0","0,0","0,0","0,0","0,0","46,76850328571428","0,0","0,0","0,0","0,0","0,0","0,0","55,251925857142844","0,0","0,0","0,0","0,0","73,02108471428572","0,0","113,72362","0,0","199,81752285714285","0,0","0,0","124,08619571428571","0,0","0,0","102,51774371428574","167,1978685714286","75,86574485714286","0,0","0,0","122,59729","44,37033228571429","96,74332642857144","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","105,47560571428569","0,0","0,0","133,02564071428571","0,0","0,0","45,53549857142857","0,0","176,16666571428573","45,36047157142856","112,72527714285715","0,0","63,71657385714286","161,44910285714286","0,0","82,94889457142858","110,38847800000005","0,0","0,0","0,0","0,0","0,0"
332200,"0,0","0,0","0,0","0,0","0,0","52,097227857142855","0,0","0,0","0,0","59,63671728571428","0,0","63,63765685714286","0,0","0,0","0,0","0,0","0,0","0,0","49,93056757142855","0,0","0,0","0,0","0,0","0,0","0,0","51,756288857142856","0,0","69,4987904285714","0,0","0,0","53,72748585714287","0,0","0,0","57,871699428571446","0,0","56,34364328571428","61,12015057142855","0,0","61,165337","0,0","63,92445771428571","0,0","0,0","0,0","0,0","0,0","56,08327671428572","0,0","0,0","0,0","0,0","0,0","0,0","0,0","81,6745374285714","0,0","0,0","0,0","0,0","0,0","0,0","0,0","78,39123071428571","46,29480114285714","53,832760428571426","0,0","77,67319457142857","0,0","0,0","87,1776122857143","59,055854571428604","0,0","0,0","0,0","0,0","0,0"
340300,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,26979528571429","0,0","0,0","0,0","0,0","45,042931142857114","0,0","0,0","48,63653214285714","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","48,79711700000001","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
357000,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","74,29701","62,34753714285714","0,0","0,0","0,0","0,0","0,0","0,0","45,260111571428574","0,0","0,0","0,0","0,0","0,0","0,0","0,0","44,61339442857143","0,0","0,0","0,0","0,0","0,0","0,0","44,23948471428571","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
